Plot number,ABCOCAN1969,ABCOSAP1969,ABCOSEED1969,ABLASCAN1969,ABLASSAP1969,ABLASSEED1969,ABMACAN1969,ABMASAP1969,ABMASEED1969,CADECAN1969,CADESAP1969,CADESEED1969,PICBRECAN1969,PICBRESAP1969,PICBRESEED1969,PICENGCAN1969,PICENGSAP1969,PICENGSEED1969,PINCONCAN1969,PINCONSAP1969,PINCONSEED1969,PINLAMCAN1969,PINLAMSAP1969,PINLAMSEED1969,PINMONCAN1969,PINMONSAP1969,PINMONSEED1969,PINPONCAN1969,PINPONSAP1969,PINPONSEED1969,PSMECAN1969,PSMESAP1969,PSMESEED1969,TSMERCAN1969,TSMERSAP1969,TSMERSEED1969
B861969,7,7,0,0,0,0,37.5,17.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,0,0,0,17.5,7,7,17.5,7,0
B881969,17.5,17.5,7,0,0,0,0,0,1,17.5,17.5,7,0,0,0,0,0,0,0,0,0,17.5,7,3,0,0,0,37.5,7,0,17.5,37.5,17.5,0,0,0
B991969,7,37.5,17.5,0,0,0,0,0,0,17.5,7,7,0,0,0,0,0,0,0,0,0,17.5,7,7,0,0,0,62.5,17.5,7,0,7,7,0,0,0
C011969,0,0,0,0,0,0,37.5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,62.5,7,3
A012015,17.5,7,3,0,0,0,3,0,0,0,0,0,1,0,0,3,3,1,7,0,0,0,0,0,17.5,0,3,0,0,0,7,0,0,17.5,3,3
A022015,17.5,3,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0
A052015,37.5,17.5,7,0,0,0,0,0,0,7,0,3,0,7,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,3,37.5,17.5,7,0,3,0
A082015,62.5,37.5,7,0,0,0,0,0,0,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17.5,17.5,7,0,0,0
A102015,17.5,7,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,17.5,7,3,0,0,0
A132015,17.5,7,3,0,0,0,0,0,0,7,3,3,0,0,0,0,0,0,0,0,0,17.5,0,3,0,0,0,17.5,3,3,7,0,3,0,0,0
A142015,7,7,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,7,3,0,3,3,3,0,7,0
A172015,17.5,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,3,0,3,3,0,7,3,0,0,0,0
A182015,0,0,0,0,0,0,17.5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,3,3
A192015,0,0,0,0,0,0,7,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,0,0,0,3,0,7
A212015,3,3,0,0,0,0,7,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,3,0,0,0
A232015,62.5,17.5,7,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0,3,0,1,0,0,0,0,1,1,3,7,7,0,0,1
A242015,17.5,17.5,7,0,0,0,7,3,0,0,0,0,7,3,3,0,0,0,0,0,0,17.5,3,3,0,0,0,7,0,3,7,7,3,0,0,0
A252015,37.5,17.5,17.5,0,0,0,3,3,3,0,0,0,7,3,3,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,17.5,7,0,0,0,0
A262015,37.5,7,7,0,0,0,1,0,0,0,0,0,37.5,3,3,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,1,0,0,0,0
A272015,17.5,17.5,7,0,0,0,7,3,3,0,0,0,37.5,7,7,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,0,0,3,3
A282015,17.5,17.5,7,0,0,0,7,7,7,0,0,0,37.5,7,3,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,7,0,3,0,0,0
A292015,0,0,0,0,0,0,7,7,17.5,0,0,0,17.5,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,7,7,7
A302015,62.5,17.5,7,0,0,0,17.5,7,0,0,3,3,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,17.5,1,0,17.5,7,3,0,0,0
A312015,37.5,37.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,3,0,0,0,37.5,0,3,17.5,17.5,7,0,0,0
A322015,17.5,17.5,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,37.5,3,0,3,3,3,0,0,0
A332015,17.5,17.5,7,0,0,0,3,7,3,0,0,0,7,7,3,0,0,0,0,0,0,17.5,0,3,0,0,0,7,0,0,7,3,3,0,0,0
A342015,7,17.5,7,0,0,0,7,7,7,0,0,0,17.5,7,7,0,0,0,0,0,0,7,0,3,3,0,3,0,0,0,3,7,0,3,7,3
A352015,17.5,3,7,0,0,0,7,0,0,17.5,3,3,7,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,0,0
A362015,0,7,3,0,0,0,7,7,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,3,3,0,3,0,0
A372015,17.5,17.5,0,0,0,0,7,3,0,7,3,7,0,0,0,0,0,0,0,0,0,0,0,0,7,3,17.5,0,0,0,7,0,0,7,0,3
A382015,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0
A392015,0,3,3,0,0,0,37.5,17.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,7,3
A402015,1,1,3,0,0,0,7,17.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7
A412015,0,0,0,0,0,0,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3
A472015,0,0,1,0,0,0,17.5,17.5,7,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,17.5,17.5,7
A492015,37.5,17.5,7,0,0,0,1,3,3,0,1,0,3,3,0,0,0,0,3,3,3,0,0,0,3,3,3,0,0,0,1,0,0,17.5,3,3
A502015,7,17.5,7,0,0,0,7,3,0,0,0,0,3,3,0,0,0,0,0,0,0,17.5,3,3,0,0,0,0,0,0,7,7,3,0,0,0
A512015,62.5,7,7,0,0,0,3,7,3,0,0,0,1,3,3,7,3,0,0,0,0,17.5,3,3,0,0,0,0,0,0,7,0,3,0,0,0
A522015,37.5,17.5,7,0,0,0,0,3,3,3,3,3,7,3,0,0,0,0,0,0,0,7,0,3,0,0,0,17.5,0,0,3,0,0,0,0,0
A532015,7,7,3,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,7,3,0,0,0,0,37.5,0,3,37.5,7,3,0,0,0
A542015,17.5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,37.5,17.5,3,17.5,7,3,0,0,0
A552015,0,0,0,7,17.5,7,7,0,3,0,0,0,0,0,0,0,0,0,17.5,7,7,0,0,0,3,0,0,0,0,0,0,0,0,7,3,3
A572015,0,0,0,0,0,0,62.5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,17.5,17.5,7
A592015,0,3,3,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37.5,0,3
A602015,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,0,0,0,17.5,7,7
A612015,7,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,7,3,3
A622015,0,0,0,0,0,0,1,0,3,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,17.5,3,3,0,0,0,0,0,0,17.5,7,7
A632015,0,0,0,7,7,7,7,7,3,0,0,0,1,0,0,0,0,0,17.5,3,3,0,0,0,3,3,3,0,0,0,0,0,0,7,7,3
A642015,0,0,0,7,0,3,7,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,7,7,3
A652015,0,0,0,0,7,3,17.5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,3,3
A662015,0,0,0,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,17.5,17.5,7
A672015,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,7,7
A692015,0,0,0,0,0,7,0,3,3,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0,3,3,0,0,0,0,0,0,0,7,7,7
A702015,0,0,0,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,37.5,7,7,0,0,0,3,0,0,0,0,0,0,0,0,7,7,7
A712015,0,0,0,0,0,7,7,3,3,0,0,0,0,0,0,0,0,0,7,17.5,7,0,0,0,7,7,0,0,0,0,0,0,0,7,7,3
A722015,0,0,0,0,0,0,37.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,17.5,3,3
A732015,0,0,0,0,0,0,17.5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,7,0,0,0,0,0,0,0,0,0
A742015,0,0,0,0,0,0,17.5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A752015,0,0,0,0,0,0,37.5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,62.5,17.5,7
A762015,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,37.5,7,17.5
A782015,0,0,0,0,0,0,17.5,17.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0
A792015,0,1,0,0,0,0,17.5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
A802015,0,1,0,0,0,0,7,7,7,0,0,0,7,0,0,0,0,0,3,0,3,0,0,0,7,3,3,0,0,0,0,0,0,0,0,0
A812015,0,0,0,0,0,0,17.5,7,7,0,0,0,0,0,0,0,0,0,37.5,7,7,0,0,0,0,0,3,0,0,0,0,0,1,17.5,3,0
A822015,0,0,0,0,0,0,7,7,3,0,0,0,0,0,0,0,0,0,37.5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3
A832015,0,0,0,0,0,0,37.5,17.5,7,0,0,0,7,0,3,0,0,0,17.5,3,0,0,0,0,7,3,3,0,0,0,0,0,0,7,7,3
A842015,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,7,3,3,17.5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,7,3
A852015,17.5,7,7,0,0,0,7,7,3,0,0,0,0,0,0,17.5,0,3,0,7,7,0,0,0,17.5,0,3,0,0,0,0,0,0,0,3,3
A862015,3,7,7,0,0,0,3,7,7,0,0,0,3,3,0,0,3,0,62.5,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3
A872015,3,3,0,0,0,0,7,3,0,0,0,0,0,0,0,62.5,17.5,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,17.5,17.5,7
A882015,37.5,17.5,7,0,0,0,17.5,3,0,0,0,0,0,0,0,17.5,7,0,0,3,0,0,0,0,7,0,0,0,0,0,17.5,0,3,37.5,17.5,7
A892015,3,3,3,0,0,0,3,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,17.5,0,3,0,0,0,0,0,3,17.5,3,3
A902015,7,3,7,0,0,0,7,3,7,0,0,0,0,1,0,3,0,3,0,7,0,0,0,0,7,0,0,0,0,0,0,1,0,7,3,3
A912015,17.5,3,3,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
A922015,17.5,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,0,0,0,0,0,0,17.5,3,3,0,0,0
A932015,3,7,3,0,0,0,17.5,7,3,0,0,0,0,0,0,0,0,0,17.5,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
A942015,0,0,0,0,0,0,17.5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,3,0,0,0,0,0,0,37.5,17.5,7
A962015,0,0,0,0,0,0,37.5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3,0,3
A972015,0,3,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
A982015,0,0,0,0,0,0,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
A992015,0,0,0,0,0,0,62.5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,3,3
B022015,7,3,3,0,7,0,37.5,3,0,1,0,0,0,0,0,7,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17.5,17.5,7
B032015,0,0,0,7,3,3,7,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17.5,3,3,0,0,0,0,0,0,37.5,7,17.5
B042015,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3
B052015,7,0,0,0,0,0,17.5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17.5,7
B062015,0,0,0,0,0,0,17.5,17.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,7,7
B072015,0,7,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5,17.5,17.5
B082015,0,0,0,17.5,7,7,7,7,3,0,0,0,7,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,17.5,7,3
B092015,0,0,0,7,17.5,7,7,7,3,0,0,0,17.5,3,0,0,0,0,0,0,0,0,0,0,17.5,3,0,0,0,0,0,0,0,7,7,7
B102015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
B112015,0,0,0,0,0,0,87.5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B122015,0,0,1,0,0,0,17.5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B142015,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,17.5,17.5
B162015,0,0,0,0,0,0,17.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,37.5,17.5,17.5
B172015,0,0,1,0,0,0,17.5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,7,7,0,0,0,0,0,0,17.5,7,7
B192015,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,7,7,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
B202015,0,0,0,0,0,0,17.5,17.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0
B212015,0,0,0,3,3,3,7,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,37.5,7,7
B222015,0,0,0,1,3,0,17.5,7,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,3,3,0,0,0,0,0,0,7,17.5,7
B242015,37.5,17.5,7,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,1,0,0,0,0
B252015,7,7,3,0,0,0,1,1,3,0,0,0,7,0,1,0,0,0,0,0,0,1,0,0,7,3,3,0,0,0,0,0,0,0,0,0
B262015,17.5,3,3,0,3,3,17.5,0,3,0,0,0,0,0,0,37.5,3,3,3,3,3,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0
B272015,17.5,7,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17.5,1,3,0,0,0,0,0,0,17.5,0,3,0,0,0
B292015,0,0,0,0,0,0,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7
B302015,3,3,0,0,0,0,17.5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B312015,0,0,0,0,0,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B322015,0,0,0,7,3,3,7,0,0,0,0,0,0,0,0,0,0,0,7,3,7,0,0,0,7,7,0,0,0,0,0,0,0,7,17.5,7
B332015,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,7,7,7,0,0,0,3,0,0,0,0,0,0,0,0,3,7,3
B342015,0,0,0,0,0,0,17.5,0,7,0,0,0,7,7,1,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,7,7,3
B352015,0,0,0,0,0,0,17.5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,0,0,0,0,0,0,3,0,3
B362015,0,0,0,0,0,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B372015,3,3,3,0,0,0,62.5,17.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B392015,7,7,7,0,0,0,17.5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B402015,0,0,3,0,0,0,17.5,7,7,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,37.5,17.5,7
B412015,0,3,3,0,0,0,3,3,3,0,0,0,7,3,0,0,0,0,3,3,1,0,0,0,3,3,1,0,0,0,0,0,0,3,3,7
B422015,17.5,7,3,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,3,0,0,0,0,0,0,17.5,7,0
B432015,62.5,7,3,0,0,0,37.5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
B482015,0,0,0,0,0,0,7,3,3,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,17.5,17.5,7
B492015,0,0,0,0,3,3,7,3,3,0,0,0,0,0,0,3,0,3,3,3,3,0,0,0,7,7,7,0,0,0,0,0,0,17.5,3,0
B502015,17.5,3,3,0,0,0,0,0,0,17.5,3,3,0,3,3,17.5,0,0,17.5,3,1,7,0,3,0,0,0,1,0,3,0,3,3,0,0,0
B522015,7,7,7,0,0,0,3,7,7,0,0,0,17.5,7,3,0,0,0,0,0,0,0,0,0,7,7,3,0,0,0,0,0,0,0,0,0
B532015,1,0,0,0,0,0,3,3,3,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,1,3,3
B542015,0,0,0,1,7,3,7,0,0,0,0,0,0,0,0,17.5,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,7,7,3
B562015,17.5,17.5,7,0,0,0,17.5,17.5,7,0,0,0,7,3,3,0,0,0,7,7,0,0,0,0,7,7,3,0,0,0,0,0,0,17.5,7,0
B572015,37.5,7,7,0,0,0,3,7,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,17.5,3,3,0,0,0,0,0,0,1,0,0
B582015,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
B592015,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B602015,0,0,0,7,7,7,0,0,3,0,1,0,0,0,0,0,0,0,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,7,7,0
B612015,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7
B632015,3,0,3,0,0,0,7,3,3,0,0,0,0,0,1,3,17.5,7,0,3,3,0,0,0,7,7,0,0,0,0,0,0,0,17.5,7,3
B652015,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
B662015,0,0,0,3,0,0,7,7,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,17.5,17.5,7
B682015,0,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,3
B692015,17.5,3,3,0,0,0,17.5,7,0,0,0,0,0,0,0,17.5,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3
B702015,37.5,3,0,3,0,0,7,0,0,0,0,0,0,0,0,62.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3
B712015,37.5,7,3,0,0,0,7,0,1,0,0,0,0,0,0,17.5,0,1,3,0,0,0,3,1,0,0,0,3,0,0,17.5,0,3,1,3,1
B722015,17.5,17.5,17.5,0,0,0,7,7,7,0,0,0,0,7,7,0,0,0,0,0,0,17.5,7,3,0,0,0,17.5,0,0,7,0,0,0,0,0
B742015,37.5,37.5,7,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,17.5,0,0,7,0,3,0,0,0
B762015,37.5,7,7,0,0,0,7,7,7,0,0,0,0,0,0,17.5,0,3,0,0,0,0,0,0,7,3,0,0,0,0,7,0,0,0,0,0
B772015,62.5,17.5,7,0,0,0,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,3,3,0,0,0
B782015,62.5,17.5,7,0,0,0,3,7,7,0,0,0,17.5,3,0,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,7,3,3,0,0,1
B812015,0,0,0,0,0,0,17.5,17.5,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17.5,7,7
B822015,3,7,7,0,0,0,7,3,0,0,0,0,17.5,7,7,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,17.5,17.5,17.5
B832015,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
B842015,7,7,3,3,3,0,3,3,0,0,0,0,0,7,7,0,0,0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,7,7
B852015,3,0,3,0,0,0,17.5,7,3,0,0,0,7,7,3,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,37.5,7,7
B862015,7,7,0,0,0,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,7,0,3,7,7,0
B882015,7,0,7,0,0,0,0,0,0,7,3,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,17.5,7,3,17.5,7,7,0,0,0
B992015,17.5,17.5,7,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,17.5,17.5,7,3,3,3,0,0,0
C012015,0,0,0,0,0,0,37.5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,37.5,7,7
