Plot,Year,PLOTYEAR,Easting,Northing,ELEV,HLI,TPI_25
A01,1969,A011969,505104,4571803,1811,0.912177,-50.76
A02,1969,A021969,505075,4571935,1870,0.932672,-43.104
A05,1969,A051969,505586,4577215,1382,0.619671,-65.2528
A08,1969,A081969,506631,4576280,1302,0.726958,-12.4144
A09,1969,A091969,506435,4576047,1326,0.612283,-45.6928
A10,1969,A101969,506522,4576124,1307,0.561715,-38.6704
A13,1969,A131969,507711,4573080,1566,0.583626,-20.488
A14,1969,A141969,507396,4573035,1681,0.699042,-3.2928
A15,1969,A151969,507249,4573036,1764,0.701988,19.9408
A17,1969,A171969,506637,4573028,2028,0.873105,10.8128
A18,1969,A181969,506500,4573350,2200,0.474502,92.2624
A19,1969,A191969,506297,4573132,2270,0.553049,139.608
A21,1969,A211969,506369,4572784,2043,0.918823,4.1344
A23,1969,A231969,507782,4572806,1547,0.570211,-28.2624
A24,1969,A241969,507837,4572610,1620,0.60393,24.6144
A25,1969,A251969,507729,4572444,1674,0.547511,33.8608
A26,1969,A261969,507325,4572031,1774,0.530222,3.7344
A27,1969,A271969,507269,4571855,1854,0.507213,9.2928
A28,1969,A281969,507256,4571827,1869,0.541376,10.5536
A29,1969,A291969,507351,4571699,2003,0.409508,63.6128
A30,1969,A301969,507750,4572378,1689,0.631919652,35.3088
A31,1969,A311969,505342,4577375,1502,0.442156,25.2368
A32,1969,A321969,505225,4577355,1529,0.540167,32.4704
A33,1969,A331969,504912,4577162,1620,0.333832,17.0896
A34,1969,A341969,504474,4577026,1765,0.441717,26.5216
A35,1969,A351969,504107,4577037,1794,0.643089,-48.2528
A36,1969,A361969,503753,4577062,1897,0.661596,-36.6816
A37,1969,A371969,503846,4577073,1875,0.721686,-39.9632
A38,1969,A381969,503136,4577051,2065,0.908934,9.44
A39,1969,A391969,502577,4577532,2225,0.599211,19.2448
A40,1969,A401969,502449,4577978,2274,0.426147,100.459
A41,1969,A411969,501996,4576897,2285,0.912044,67.1744
A42,1969,A421969,502104,4576354,2389,0.311366,116.309
A43,1969,A431969,502086,4576316,2403,0.534741,128.418
A44,1969,A441969,502420,4576146,2351,0.919057,96.2448
A45,1969,A451969,502727,4575875,2228,0.363743,54.0096
A47,1969,A471969,503254,4575493,1953,0.538517,-24.0928
A49,1969,A491969,503609,4575600,1882,0.60953,-11.2688
A50,1969,A501969,503917,4575610,1809,0.877213,-25.4976
A51,1969,A511969,504935,4575976,1650,0.745787,-51.1472
A52,1969,A521969,505281,4576150,1589,0.822479,-51.4528
A53,1969,A531969,505345,4576357,1653,0.8771,30.9296
A54,1969,A541969,505747,4576650,1536,0.809165,9.4624
A55,1969,A551969,503808,4572829,2038,0.645034,-58.128
A57,1969,A571969,503913,4572772,2048,0.553687,-43.8016
A59,1969,A591969,504174,4572508,2218,0.534302,90.08
A60,1969,A601969,504382,4572451,2227,0.241526,83.7504
A61,1969,A611969,504306,4572422,2254,0.773487,124.104
A62,1969,A621969,504569,4572502,2145,0.369891,57.088
A63,1969,A631969,504865,4572711,1972,0.729905,-66.1168
A64,1969,A641969,503818,4572640,2059,0.71011,-52.6528
A65,1969,A651969,503826,4572507,2092,0.596387,-39.24
A66,1969,A661969,503532,4572438,2155,0.345449,-39.9584
A67,1969,A671969,503260,4572237,2308,0.480316,69.2256
A68,1969,A681969,503192,4572374,2306,0.679236,70.8656
A69,1969,A691969,503368,4572628,2181,0.626546,-35.5872
A70,1969,A701969,504151,4572996,2034,0.712044,-28.9968
A71,1969,A711969,503573,4573089,2183,0.807256,12.4672
A72,1969,A721969,503617,4573261,2232,0.947432,49.616
A73,1969,A731969,503843,4573397,2277,0.952416,80.216
A74,1969,A741969,503910,4573546,2348,0.921452,133.944
A75,1969,A751969,504239,4573819,2274,0.67458,102.525
A76,1969,A761969,503991,4573880,2220,0.682157,17.552
A78,1969,A781969,504366,4573829,2201,0.685401,54.3504
A79,1969,A791969,504395,4573653,2137,0.725548,18.5248
A80,1969,A801969,504170,4573376,2141,0.858241,1.888
A81,1969,A811969,504075,4573023,2042,0.774639,-33.8208
A82,1969,A821969,504479,4573021,1993,0.623163,-26.0592
A83,1969,A831969,504575,4573023,1989,0.680728,-10.5472
A84,1969,A841969,504552,4573152,1979,0.645564,-27.904
A85,1969,A851969,504698,4573431,1939,0.696917,-44.184
A86,1969,A861969,505174,4573594,1916,0.614196,-4.7488
A87,1969,A871969,505057,4573611,1893,0.624651,-27.7616
A88,1969,A881969,504803,4571599,1818,0.583915,-66.624
A89,1969,A891969,504631,4571526,1846,0.464538,-55.8448
A90,1969,A901969,504241,4571221,1917,0.598963,-66.0448
A91,1969,A911969,504338,4571561,1887,0.833928,-48.4816
A92,1969,A921969,504594,4571795,1847,0.800258,-67.76
A93,1969,A931969,504249,4571872,2030,0.759145,12.832
A94,1969,A941969,504043,4572007,2113,0.417319,-0.3552
A96,1969,A961969,503405,4571966,2291,0.90178,48.0624
A97,1969,A971969,503230,4571896,2288,0.953395,65.7408
A98,1969,A981969,503352,4571385,2247,0.85933,77.3184
A99,1969,A991969,503378,4570963,2208,0.951428,82.3328
B02,1969,B021969,505464,4570425,1925,0.684939,-25.4512
B03,1969,B031969,504699,4569515,2117,0.539163228,-43.9472
B04,1969,B041969,504378,4569439,2227,0.981465851,56.6224
B05,1969,B051969,505104,4568973,2331,0.382903,85.2352
B06,1969,B061969,505297,4568945,2340,0.547629,85.0976
B07,1969,B071969,504968,4569170,2255,0.349626,39.0336
B08,1969,B081969,504877,4569219,2205,0.548035,-0.7744
B09,1969,B091969,504862,4569293,2179,0.487874,-8.0976
B10,1969,B101969,504435,4569671,2230,0.5736,18.3776
B11,1969,B111969,503981,4569798,2310,0.933253,43.0736
B12,1969,B121969,504067,4569947,2415,0.941451,101.376
B14,1969,B141969,504014,4570140,2458,0.64943,155.251
B16,1969,B161969,504531,4570389,2341,0.855085,94.9104
B17,1969,B171969,504877,4570806,2272,0.799127,105.07
B19,1969,B191969,504900,4570592,2174,0.816614,4.208
B20,1969,B201969,504925,4570338,2135,0.888106,15.1648
B21,1969,B211969,504900,4569933,2070,0.506104,-3.5728
B22,1969,B221969,505122,4570125,2008,0.60583,-24.7408
B24,1969,B241969,505330,4570693,2010,0.662082,-0.5328
B25,1969,B251969,505362,4571026,1980,0.746908,-8.1296
B26,1969,B261969,505779,4570993,1824,0.622744,-31.5872
B27,1969,B271969,505739,4571350,1844,0.737741,13.5056
B29,1969,B291969,502423,4567343,2233,0.727721,-8.7664
B30,1969,B301969,502514,4567176,2242,0.807256,32.568
B31,1969,B311969,501951,4567506,2248,0.964977,69.5264
B32,1969,B321969,502147,4568027,2141,0.508603,-1.5488
B33,1969,B331969,502266,4568321,2149,0.505972,47.1024
B34,1969,B341969,502110,4568429,2202,0.500144,122.254
B35,1969,B351969,501952,4568365,2160,0.812831,68.7104
B36,1969,B361969,501711,4568135,2149,0.578536,52.5472
B37,1969,B371969,501420,4568036,2105,0.962554,12.2704
B38,1969,B381969,500189,4568230,2088,0.853981025,-20.8608
B39,1969,B391969,500603,4568264,2145,0.874641427,2.8752
B40,1969,B401969,502530,4568183,2036,0.600607,-45.208
B41,1969,B411969,502973,4568240,1956,0.424165,6.5872
B42,1969,B421969,503233,4568329,1843,0.510542,-61.7296
B43,1969,B431969,503328,4569219,1867,0.9175,-16.6144
B46,1969,B461969,503724,4567234,2176,0.875681,34.0256
B48,1969,B481969,503999,4571778,2084,0.759296,-3.432
B49,1969,B491969,504043,4571584,2034,0.589757,-1.8928
B50,1969,B501969,506425,4571975,1721,0.840087829,-31.9344
B52,1969,B521969,504641,4575010,1913,0.664692,38.1232
B53,1969,B531969,504448,4574393,1948,0.699478,-65.9248
B54,1969,B541969,504355,4574439,1950,0.677435,-60.0208
B56,1969,B561969,505033,4573501,1920,0.608243,-13.3776
B57,1969,B571969,504736,4573511,1941,0.736524,-39.9472
B58,1969,B581969,503711,4573065,2117,0.820148,-52.2544
B59,1969,B591969,503597,4572956,2136,0.826114,-19.6288
B60,1969,B601969,503163,4572714,2290,0.714231,16.4752
B61,1969,B611969,502992,4572666,2376,0.63687,114.266
B63,1969,B631969,504914,4573535,1909,0.627645,-32.6016
B65,1969,B651969,504573,4569426,2180,0.548639642,-21.3328
B66,1969,B661969,504476,4569777,2200,0.483869,-19.3248
B68,1969,B681969,505132,4569710,2003,0.669117,-59.4288
B69,1969,B691969,505425,4570358,1934,0.656046,-24.6944
B70,1969,B701969,505766,4570880,1828,0.611205,-38.5728
B71,1969,B711969,506593,4571810,1693,0.646318,-42.152
B72,1969,B721969,505593,4575508,1779,0.444085,60.864
B74,1969,B741969,505466,4574974,1790,0.70179,-13.2048
B76,1969,B761969,505163,4574626,1892,0.532379,1.5984
B77,1969,B771969,505209,4574538,1880,0.667441,-4.0512
B78,1969,B781969,505767,4574489,1762,0.679344,-25.0432
B81,1969,B811969,507232,4570426,2178,0.531947,44.9952
B82,1969,B821969,507050,4570791,2033,0.723007,-40.9488
B83,1969,B831969,506799,4570723,1979,0.560877,-73.0256
B84,1969,B841969,506811,4570753,1968,0.563496,-70.248
B85,1969,B851969,506587,4570747,2057,0.48044,26.9536
B86,1969,B861969,506996,4571082,1982,0.90851,-41.9632
B88,1969,B881969,506530,4576529,1326,0.776779,-8.0128
B99,1969,B991969,507409,4573283,1724,0.756737,-0.8224
C01,1969,C011969,503534,4571319,2170,0.71293,8.1488
C05,1969,C051969,502189,4573398,2138,0.644321,-15.608
A01,2015,A012015,505104,4571803,1811,0.912177,-50.76
A02,2015,A022015,505075,4571935,1870,0.932672,-43.104
A05,2015,A052015,505586,4577215,1382,0.619671,-65.2528
A08,2015,A082015,506631,4576280,1302,0.726958,-12.4144
A09,2015,A092015,506435,4576047,1326,0.612283,-45.6928
A10,2015,A102015,506522,4576124,1307,0.561715,-38.6704
A13,2015,A132015,507711,4573080,1566,0.583626,-20.488
A14,2015,A142015,507396,4573035,1681,0.699042,-3.2928
A15,2015,A152015,507249,4573036,1764,0.701988,19.9408
A17,2015,A172015,506637,4573028,2028,0.873105,10.8128
A18,2015,A182015,506500,4573350,2200,0.474502,92.2624
A19,2015,A192015,506297,4573132,2270,0.553049,139.608
A21,2015,A212015,506369,4572784,2043,0.918823,4.1344
A23,2015,A232015,507782,4572806,1547,0.570211,-28.2624
A24,2015,A242015,507837,4572610,1620,0.60393,24.6144
A25,2015,A252015,507729,4572444,1674,0.547511,33.8608
A26,2015,A262015,507325,4572031,1774,0.530222,3.7344
A27,2015,A272015,507269,4571855,1854,0.507213,9.2928
A28,2015,A282015,507256,4571827,1869,0.541376,10.5536
A29,2015,A292015,507351,4571699,2003,0.409508,63.6128
A30,2015,A302015,507750,4572378,1689,0.631919652,35.3088
A31,2015,A312015,505342,4577375,1502,0.442156,25.2368
A32,2015,A322015,505225,4577355,1529,0.540167,32.4704
A33,2015,A332015,504912,4577162,1620,0.333832,17.0896
A34,2015,A342015,504474,4577026,1765,0.441717,26.5216
A35,2015,A352015,504107,4577037,1794,0.643089,-48.2528
A36,2015,A362015,503753,4577062,1897,0.661596,-36.6816
A37,2015,A372015,503846,4577073,1875,0.721686,-39.9632
A38,2015,A382015,503136,4577051,2065,0.908934,9.44
A39,2015,A392015,502577,4577532,2225,0.599211,19.2448
A40,2015,A402015,502449,4577978,2274,0.426147,100.459
A41,2015,A412015,501996,4576897,2285,0.912044,67.1744
A42,2015,A422015,502104,4576354,2389,0.311366,116.309
A43,2015,A432015,502086,4576316,2403,0.534741,128.418
A44,2015,A442015,502420,4576146,2351,0.919057,96.2448
A45,2015,A452015,502727,4575875,2228,0.363743,54.0096
A47,2015,A472015,503254,4575493,1953,0.538517,-24.0928
A49,2015,A492015,503609,4575600,1882,0.60953,-11.2688
A50,2015,A502015,503917,4575610,1809,0.877213,-25.4976
A51,2015,A512015,504935,4575976,1650,0.745787,-51.1472
A52,2015,A522015,505281,4576150,1589,0.822479,-51.4528
A53,2015,A532015,505345,4576357,1653,0.8771,30.9296
A54,2015,A542015,505747,4576650,1536,0.809165,9.4624
A55,2015,A552015,503808,4572829,2038,0.645034,-58.128
A57,2015,A572015,503913,4572772,2048,0.553687,-43.8016
A59,2015,A592015,504174,4572508,2218,0.534302,90.08
A60,2015,A602015,504382,4572451,2227,0.241526,83.7504
A61,2015,A612015,504306,4572422,2254,0.773487,124.104
A62,2015,A622015,504569,4572502,2145,0.369891,57.088
A63,2015,A632015,504865,4572711,1972,0.729905,-66.1168
A64,2015,A642015,503818,4572640,2059,0.71011,-52.6528
A65,2015,A652015,503826,4572507,2092,0.596387,-39.24
A66,2015,A662015,503532,4572438,2155,0.345449,-39.9584
A67,2015,A672015,503260,4572237,2308,0.480316,69.2256
A68,2015,A682015,503192,4572374,2306,0.679236,70.8656
A69,2015,A692015,503368,4572628,2181,0.626546,-35.5872
A70,2015,A702015,504151,4572996,2034,0.712044,-28.9968
A71,2015,A712015,503573,4573089,2183,0.807256,12.4672
A72,2015,A722015,503617,4573261,2232,0.947432,49.616
A73,2015,A732015,503843,4573397,2277,0.952416,80.216
A74,2015,A742015,503910,4573546,2348,0.921452,133.944
A75,2015,A752015,504239,4573819,2274,0.67458,102.525
A76,2015,A762015,503991,4573880,2220,0.682157,17.552
A78,2015,A782015,504366,4573829,2201,0.685401,54.3504
A79,2015,A792015,504395,4573653,2137,0.725548,18.5248
A80,2015,A802015,504170,4573376,2141,0.858241,1.888
A81,2015,A812015,504075,4573023,2042,0.774639,-33.8208
A82,2015,A822015,504479,4573021,1993,0.623163,-26.0592
A83,2015,A832015,504575,4573023,1989,0.680728,-10.5472
A84,2015,A842015,504552,4573152,1979,0.645564,-27.904
A85,2015,A852015,504698,4573431,1939,0.696917,-44.184
A86,2015,A862015,505174,4573594,1916,0.614196,-4.7488
A87,2015,A872015,505057,4573611,1893,0.624651,-27.7616
A88,2015,A882015,504803,4571599,1818,0.583915,-66.624
A89,2015,A892015,504631,4571526,1846,0.464538,-55.8448
A90,2015,A902015,504241,4571221,1917,0.598963,-66.0448
A91,2015,A912015,504338,4571561,1887,0.833928,-48.4816
A92,2015,A922015,504594,4571795,1847,0.800258,-67.76
A93,2015,A932015,504249,4571872,2030,0.759145,12.832
A94,2015,A942015,504043,4572007,2113,0.417319,-0.3552
A96,2015,A962015,503405,4571966,2291,0.90178,48.0624
A97,2015,A972015,503230,4571896,2288,0.953395,65.7408
A98,2015,A982015,503352,4571385,2247,0.85933,77.3184
A99,2015,A992015,503378,4570963,2208,0.951428,82.3328
B02,2015,B022015,505464,4570425,1925,0.684939,-25.4512
B03,2015,B032015,504699,4569515,2117,0.539163228,-43.9472
B04,2015,B042015,504378,4569439,2227,0.981465851,56.6224
B05,2015,B052015,505104,4568973,2331,0.382903,85.2352
B06,2015,B062015,505297,4568945,2340,0.547629,85.0976
B07,2015,B072015,504968,4569170,2255,0.349626,39.0336
B08,2015,B082015,504877,4569219,2205,0.548035,-0.7744
B09,2015,B092015,504862,4569293,2179,0.487874,-8.0976
B10,2015,B102015,504435,4569671,2230,0.5736,18.3776
B11,2015,B112015,503981,4569798,2310,0.933253,43.0736
B12,2015,B122015,504067,4569947,2415,0.941451,101.376
B14,2015,B142015,504014,4570140,2458,0.64943,155.251
B16,2015,B162015,504531,4570389,2341,0.855085,94.9104
B17,2015,B172015,504877,4570806,2272,0.799127,105.07
B19,2015,B192015,504900,4570592,2174,0.816614,4.208
B20,2015,B202015,504925,4570338,2135,0.888106,15.1648
B21,2015,B212015,504900,4569933,2070,0.506104,-3.5728
B22,2015,B222015,505122,4570125,2008,0.60583,-24.7408
B24,2015,B242015,505330,4570693,2010,0.662082,-0.5328
B25,2015,B252015,505362,4571026,1980,0.746908,-8.1296
B26,2015,B262015,505779,4570993,1824,0.622744,-31.5872
B27,2015,B272015,505739,4571350,1844,0.737741,13.5056
B29,2015,B292015,502423,4567343,2233,0.727721,-8.7664
B30,2015,B302015,502514,4567176,2242,0.807256,32.568
B31,2015,B312015,501951,4567506,2248,0.964977,69.5264
B32,2015,B322015,502147,4568027,2141,0.508603,-1.5488
B33,2015,B332015,502266,4568321,2149,0.505972,47.1024
B34,2015,B342015,502110,4568429,2202,0.500144,122.254
B35,2015,B352015,501952,4568365,2160,0.812831,68.7104
B36,2015,B362015,501711,4568135,2149,0.578536,52.5472
B37,2015,B372015,501420,4568036,2105,0.962554,12.2704
B38,2015,B382015,500189,4568230,2088,0.853981025,-20.8608
B39,2015,B392015,500603,4568264,2145,0.874641427,2.8752
B40,2015,B402015,502530,4568183,2036,0.600607,-45.208
B41,2015,B412015,502973,4568240,1956,0.424165,6.5872
B42,2015,B422015,503233,4568329,1843,0.510542,-61.7296
B43,2015,B432015,503328,4569219,1867,0.9175,-16.6144
B46,2015,B462015,503724,4567234,2176,0.875681,34.0256
B48,2015,B482015,503999,4571778,2084,0.759296,-3.432
B49,2015,B492015,504043,4571584,2034,0.589757,-1.8928
B50,2015,B502015,506425,4571975,1721,0.840087829,-31.9344
B52,2015,B522015,504641,4575010,1913,0.664692,38.1232
B53,2015,B532015,504448,4574393,1948,0.699478,-65.9248
B54,2015,B542015,504355,4574439,1950,0.677435,-60.0208
B56,2015,B562015,505033,4573501,1920,0.608243,-13.3776
B57,2015,B572015,504736,4573511,1941,0.736524,-39.9472
B58,2015,B582015,503711,4573065,2117,0.820148,-52.2544
B59,2015,B592015,503597,4572956,2136,0.826114,-19.6288
B60,2015,B602015,503163,4572714,2290,0.714231,16.4752
B61,2015,B612015,502992,4572666,2376,0.63687,114.266
B63,2015,B632015,504914,4573535,1909,0.627645,-32.6016
B65,2015,B652015,504573,4569426,2180,0.548639642,-21.3328
B66,2015,B662015,504476,4569777,2200,0.483869,-19.3248
B68,2015,B682015,505132,4569710,2003,0.669117,-59.4288
B69,2015,B692015,505425,4570358,1934,0.656046,-24.6944
B70,2015,B702015,505766,4570880,1828,0.611205,-38.5728
B71,2015,B712015,506593,4571810,1693,0.646318,-42.152
B72,2015,B722015,505593,4575508,1779,0.444085,60.864
B74,2015,B742015,505466,4574974,1790,0.70179,-13.2048
B76,2015,B762015,505163,4574626,1892,0.532379,1.5984
B77,2015,B772015,505209,4574538,1880,0.667441,-4.0512
B78,2015,B782015,505767,4574489,1762,0.679344,-25.0432
B81,2015,B812015,507232,4570426,2178,0.531947,44.9952
B82,2015,B822015,507050,4570791,2033,0.723007,-40.9488
B83,2015,B832015,506799,4570723,1979,0.560877,-73.0256
B84,2015,B842015,506811,4570753,1968,0.563496,-70.248
B85,2015,B852015,506587,4570747,2057,0.48044,26.9536
B86,2015,B862015,506996,4571082,1982,0.90851,-41.9632
B88,2015,B882015,506530,4576529,1326,0.776779,-8.0128
B99,2015,B992015,507409,4573283,1724,0.756737,-0.8224
C01,2015,C012015,503534,4571319,2170,0.71293,8.1488
C05,2015,C052015,502189,4573398,2138,0.644321,-15.608
